id;type;reference;resolution;valeur_min;valeur_max
1;payment program Frozen;envisioneer frictionless;orchestration;66900;35751
2;e-commerce;TCP;primary Coordinator;1896;5112
3;bandwidth-monitored Ireland;Account Jersey;bus Cambridgeshire Concrete;35898;12005
4;Paradigm B2C;panel SQL;Account;67133;71702
5;niches Marketing;Steel;deposit;90816;81148
6;Agent transmit background;generating Iraq gold;Shirt ROI Gourde;7335;79215
7;Gabon purple Corporate;deposit needs-based;Brand override withdrawal;17482;53464
8;plum auxiliary;alarm;parsing service-desk Agent;20808;11198
9;Response end-to-end;Estonia schemas;Montana;20615;26858
10;lime payment;Shirt port Cheese;Salad;7137;30255
