id;nom;url;date;duree
1;deposit e-business;http://elliott.com;2023-12-04;87331
2;Front-line Electronics Account;http://gwendolyn.name;2023-12-03;1933
3;Estate Avon Programmable;https://eleonore.biz;2023-12-03;52677
4;payment;https://oran.org;2023-12-04;44004
5;Re-engineered;http://ottilie.net;2023-12-03;79358
6;Sausages 5th invoice;http://janiya.biz;2023-12-03;69864
7;open Martinique quantifying;http://lisa.name;2023-12-04;92366
8;Solutions;https://kellen.com;2023-12-04;82677
9;channels;https://hazle.biz;2023-12-04;92614
10;auxiliary generating;http://alexanne.info;2023-12-04;60359
